Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.9,19.06,1.69,0.783,G8V,20.300613,1
7.71,5.1,1.09,1.368,K3III,16.247852,0
8.96,2.6,0.85,0.098,B9.5V,16.034866,1
9.81,5.66,1.58,1.116,K0IIIe,18.574081,0
7.09,-0.95,0.92,0.615,F7/F8Ib/II,11.978619,0
7.78,4.11,0.67,1.039,K1II/III,15.849209,0
7.2,5.92,0.91,1.166,K2III,16.061607,0
6.88,0.92,0.61,0.423,B5Iab,11.698939,0
8.25,13.34,0.93,0.5,F5V,18.87578,1
8.17,5.72,1.18,0.823,G8IV,16.95698,1
8.47,3.82,0.97,1.036,G6II/III,16.380318,0
9.85,3.25,1.44,0.97,G5.8Ve...,17.409416,1
6.96,5.54,1.13,1.079,K0III,15.677548,0
7.84,2.1,0.86,0.085,A2V,14.451097,1
6.09,3.62,0.67,0.94,G8/K0II/III,13.883543,0
6.25,8.1,0.52,0.931,K0III,15.792425,0
7.56,4.78,0.75,1.348,K2III,15.95714,0
9.27,4.33,1.53,0.667,G0IV/V,17.45244,1
9.98,56.87,1.68,1.401,K7V,23.754416,1
8.73,1.92,1.83,0.016,B8/B9Vn...,15.146505,1
5.3,22.49,1.84,0.289,A6V,17.059948,1
5.49,5.06,0.88,-0.06,B8V...,14.010752,1
7.02,29.62,1.03,0.562,G1V,19.377926,1
7.21,4.27,0.96,1.818,K5II,15.36214,0
9.1,8.8,1.25,0.554,F7V,18.822414,1
7.54,1.0,0.65,1.376,K1/K2III,12.54,0
7.94,1.04,1.29,0.336,B3V,13.025167,1
8.99,1.4,1.14,1.153,K1III,14.72064,0
6.52,3.51,1.0,0.015,B9.5Vn,14.246536,1
8.64,0.41,1.13,1.308,K0III,11.703919,0
5.2,16.88,0.76,1.081,K2III,16.33686,0
4.95,5.25,0.84,1.0,G8II-III,13.5507965,0
9.44,1.92,1.22,1.039,G8III,15.856506,0
7.95,2.62,0.64,1.609,M0III,15.041507,0
6.08,11.26,0.6,0.398,F0III,16.337692,0
